Prévessin-Moens;PREVESSIN MOENS;1280
Priay;PRIAY;1160
Pugieu;PUGIEU;1510
Ramasse;RAMASSE;1250
Rancé;RANCE;1390
Relevant;RELEVANT;1990
Replonges;REPLONGES;1620
Revonnas;REVONNAS;1250
Reyrieux;REYRIEUX;1600
Reyssouze;REYSSOUZE;1190
Rignat;RIGNAT;1250
Rignieux-le-Franc;RIGNIEUX LE FRANC;1800
Romanèche;ROMANECHE;1250
Romans;ROMANS;1400
Rossillon;ROSSILLON;1510
Ruffieu;RUFFIEU;1260
Saint-Alban;SAINT ALBAN;1450
Saint-André-de-Bâgé;SAINT ANDRE DE BAGE;1380
Saint-André-de-Corcy;SAINT ANDRE DE CORCY;1390
Saint-André-d'Huiriat;SAINT ANDRE D HUIRIAT;1290
Saint-André-le-Bouchoux;SAINT ANDRE LE BOUCHOUX;1240
Saint-André-sur-Vieux-Jonc;SAINT ANDRE SUR VIEUX;1240
Saint-Bénigne;SAINT BENIGNE;1190
Saint-Benoît;SAINT BENOIT;1300
Saint-Bois;SAINT BOIS;1300
Saint-Champ-Chatonod;SAINT CHAMP CHATONOD;1300
Saint-Cyr-sur-Menthon;SAINT CYR SUR MENTHON;1380
Saint-Denis-lès-Bourg;SAINT DENIS LES BOURG;1000
Saint-Denis-en-Bugey;SAINT DENIS EN BUGEY;1500
Saint-Didier-d'Aussiat;SAINT DIDIER D AUSSIAT;1340
Saint-Didier-de-Formans;SAINT DIDIER DE FORMANS;1600
Saint-Didier-sur-Chalaronne;SAINT DIDIER SUR CHALARONNE;1140
Saint-Éloi;SAINT ELOI;1800
Saint-Étienne-du-Bois;SAINT ETIENNE DU BOIS;1370
Saint-Étienne-sur-Chalaronne;SAINT ETIENNE SUR CHALARONNE;1140
Saint-Étienne-sur-Reyssouze;SAINT ETIENNE SUR REYSSOUZE;1190
Sainte-Euphémie;SAINTE EUPHEMIE;1600
Saint-Genis-Pouilly;SAINT GENIS POUILLY;1630
Saint-Genis-sur-Menthon;SAINT GENIS SUR MENTHON;1380
Saint-Georges-sur-Renon;SAINT GEORGES SUR RENON;1400
Saint-Germain-de-Joux;SAINT GERMAIN DE JOUX;1130
Saint-Germain-les-Paroisses;SAINT GERMAIN LES PAROISSES;1300
Saint-Germain-sur-Renon;SAINT GERMAIN SUR RENON;1240
Saint-Jean-de-Gonville;SAINT JEAN DE GONVILLE;1630
Saint-Jean-de Niost;SAINT JEAN DE NIOST;1800
Saint-Jean-de-Thurigneux;SAINT JEAN DE THURIGNEUX;1390
Saint-Jean-sur-Reyssouze;SAINT JEAN SUR REYSSOUZE;1560
Saint-Jean-sur-Veyle;SAINT JEAN SUR VEYLE;1290
Sainte-Julie;SAINTE JULIE;1150
Saint-Julien-sur-Reyssouze;SAINT JULIEN SUR REYSSOUZE;1560
Saint-Julien-sur-Veyle;SAINT JULIEN SUR VEYLE;1540
